"date","HHI","type","year","quarter"
"2011 Q1",9221.56029791739,"whole","2011","1"
"2011 Q2",9074.00898714097,"whole","2011","2"
"2011 Q3",8938.34475927577,"whole","2011","3"
"2011 Q4",8809.75088306155,"whole","2011","4"
"2012 Q1",8648.821672437,"whole","2012","1"
"2012 Q2",8511.92284187857,"whole","2012","2"
"2012 Q3",8446.26398913218,"whole","2012","3"
"2012 Q4",8362.75941851651,"whole","2012","4"
"2013 Q1",8278.75761681881,"whole","2013","1"
"2013 Q2",8236.85620787618,"whole","2013","2"
"2013 Q3",8105.83648330712,"whole","2013","3"
"2013 Q4",8013.64679837893,"whole","2013","4"
"2014 Q1",7930.89002479648,"whole","2014","1"
"2014 Q2",7831.42426809143,"whole","2014","2"
"2014 Q3",7752.62130732052,"whole","2014","3"
"2014 Q4",7671.2221172858,"whole","2014","4"
"2015 Q1",7597.39467004342,"whole","2015","1"
"2015 Q2",7515.92108945001,"whole","2015","2"
"2015 Q3",7488.17946629485,"whole","2015","3"
"2015 Q4",7441.93843189625,"whole","2015","4"
"2016 Q1",7393.30132847782,"whole","2016","1"
"2016 Q2",7346.7996555213,"whole","2016","2"
"2016 Q3",7308.74650128429,"whole","2016","3"
"2016 Q4",7261.31278904221,"whole","2016","4"
"2017 Q1",7196.20357995507,"whole","2017","1"
"2017 Q2",7141.75873364856,"whole","2017","2"
"2017 Q3",7095.60843542611,"whole","2017","3"
"2017 Q4",7039.09975186597,"whole","2017","4"
"2018 Q1",6982.0039206401,"whole","2018","1"
"2018 Q2",6931.14229206741,"whole","2018","2"
"2018 Q3",6878.93192275107,"whole","2018","3"
"2018 Q4",6834.37601093348,"whole","2018","4"
"2019 Q1",6780.54623891068,"whole","2019","1"
"2019 Q2",6703.59975354711,"whole","2019","2"
"2019 Q3",6641.88614749921,"whole","2019","3"
"2019 Q4",6565.06115381719,"whole","2019","4"
"2011 Q1",6419.66574598641,"non-regulated","2011","1"
"2011 Q2",6167.05377247961,"non-regulated","2011","2"
"2011 Q3",5962.94390892982,"non-regulated","2011","3"
"2011 Q4",5820.37600731332,"non-regulated","2011","4"
"2012 Q1",5688.18359860845,"non-regulated","2012","1"
"2012 Q2",5587.38644246293,"non-regulated","2012","2"
"2012 Q3",5586.99318355886,"non-regulated","2012","3"
"2012 Q4",5579.71504224732,"non-regulated","2012","4"
"2013 Q1",5583.24690001357,"non-regulated","2013","1"
"2013 Q2",5653.5297126214,"non-regulated","2013","2"
"2013 Q3",5611.15830065929,"non-regulated","2013","3"
"2013 Q4",5641.19279350718,"non-regulated","2013","4"
"2014 Q1",5647.40574416672,"non-regulated","2014","1"
"2014 Q2",5628.18912659321,"non-regulated","2014","2"
"2014 Q3",5601.42663646971,"non-regulated","2014","3"
"2014 Q4",5566.81140659516,"non-regulated","2014","4"
"2015 Q1",5535.90804552626,"non-regulated","2015","1"
"2015 Q2",5498.51478998883,"non-regulated","2015","2"
"2015 Q3",5523.4141580521,"non-regulated","2015","3"
"2015 Q4",5521.62206409808,"non-regulated","2015","4"
"2016 Q1",5505.49812070053,"non-regulated","2016","1"
"2016 Q2",5486.43351224585,"non-regulated","2016","2"
"2016 Q3",5472.49363370509,"non-regulated","2016","3"
"2016 Q4",5442.55844137063,"non-regulated","2016","4"
"2017 Q1",5400.76417197418,"non-regulated","2017","1"
"2017 Q2",5363.21744540249,"non-regulated","2017","2"
"2017 Q3",5327.1220108925,"non-regulated","2017","3"
"2017 Q4",5279.56431662091,"non-regulated","2017","4"
"2018 Q1",5229.38052169526,"non-regulated","2018","1"
"2018 Q2",5176.91760903467,"non-regulated","2018","2"
"2018 Q3",5122.52779783638,"non-regulated","2018","3"
"2018 Q4",5070.40524078949,"non-regulated","2018","4"
"2019 Q1",5015.38304820192,"non-regulated","2019","1"
"2019 Q2",4929.82952111923,"non-regulated","2019","2"
"2019 Q3",4860.7654004007,"non-regulated","2019","3"
"2019 Q4",4771.93622352672,"non-regulated","2019","4"
"2011 Q1",6715.2112828187,"whole (reg com sep)","2011","1"
"2011 Q2",6452.55774735193,"whole (reg com sep)","2011","2"
"2011 Q3",6235.52123213246,"whole (reg com sep)","2011","3"
"2011 Q4",6017.51843048714,"whole (reg com sep)","2011","4"
"2012 Q1",5749.09315215455,"whole (reg com sep)","2012","1"
"2012 Q2",5535.70947160988,"whole (reg com sep)","2012","2"
"2012 Q3",5406.25804686886,"whole (reg com sep)","2012","3"
"2012 Q4",5253.95160947108,"whole (reg com sep)","2012","4"
"2013 Q1",5098.96173422693,"whole (reg com sep)","2013","1"
"2013 Q2",4965.64891389151,"whole (reg com sep)","2013","2"
"2013 Q3",4773.86161133796,"whole (reg com sep)","2013","3"
"2013 Q4",4607.28067061063,"whole (reg com sep)","2013","4"
"2014 Q1",4477.66116021397,"whole (reg com sep)","2014","1"
"2014 Q2",4362.08310039979,"whole (reg com sep)","2014","2"
"2014 Q3",4281.35630405165,"whole (reg com sep)","2014","3"
"2014 Q4",4200.40277788787,"whole (reg com sep)","2014","4"
"2015 Q1",4126.04011617793,"whole (reg com sep)","2015","1"
"2015 Q2",4051.75762873068,"whole (reg com sep)","2015","2"
"2015 Q3",4016.11842085732,"whole (reg com sep)","2015","3"
"2015 Q4",3975.80319029445,"whole (reg com sep)","2015","4"
"2016 Q1",3937.46389826636,"whole (reg com sep)","2016","1"
"2016 Q2",3902.21033259547,"whole (reg com sep)","2016","2"
"2016 Q3",3872.66949586048,"whole (reg com sep)","2016","3"
"2016 Q4",3841.15359354855,"whole (reg com sep)","2016","4"
"2017 Q1",3804.43098708517,"whole (reg com sep)","2017","1"
"2017 Q2",3773.89159832451,"whole (reg com sep)","2017","2"
"2017 Q3",3749.26606275779,"whole (reg com sep)","2017","3"
"2017 Q4",3720.57925313149,"whole (reg com sep)","2017","4"
"2018 Q1",3689.78064198074,"whole (reg com sep)","2018","1"
"2018 Q2",3662.11370323741,"whole (reg com sep)","2018","2"
"2018 Q3",3635.46763143945,"whole (reg com sep)","2018","3"
"2018 Q4",3611.92489030099,"whole (reg com sep)","2018","4"
"2019 Q1",3582.16657614128,"whole (reg com sep)","2019","1"
"2019 Q2",3541.98116424269,"whole (reg com sep)","2019","2"
"2019 Q3",3510.77377929812,"whole (reg com sep)","2019","3"
"2019 Q4",3472.20710994519,"whole (reg com sep)","2019","4"
