market,date,smartmeter
IBERDROLA,2015_T3,0.45
IBERDROLA,2015_T4,0.503333333
IBERDROLA,2016_T1,0.56
IBERDROLA,2016_T2,0.62
IBERDROLA,2016_T3,0.68
IBERDROLA,2016_T4,0.73
IBERDROLA,2017_T1,0.786666667
IBERDROLA,2017_T2,0.83
IBERDROLA,2017_T3,0.876666667
IBERDROLA,2017_T4,0.916666667
IBERDROLA,2018_T1,0.953666667
IBERDROLA,2018_T2,0.975333333
IBERDROLA,2018_T3,0.988
IBERDROLA,2018_T4,0.994666667
IBERDROLA,2019_T1,0.997
IBERDROLA,2019_T2,0.997
IBERDROLA,2019_T3,0.997666667
IBERDROLA,2019_T4,0.998
NATURGY,2015_T3,0.436666667
NATURGY,2015_T4,0.493333333
NATURGY,2016_T1,0.546666667
NATURGY,2016_T2,0.606666667
NATURGY,2016_T3,0.67
NATURGY,2016_T4,0.736666667
NATURGY,2017_T1,0.793333333
NATURGY,2017_T2,0.84
NATURGY,2017_T3,0.89
NATURGY,2017_T4,0.92
NATURGY,2018_T1,0.937666667
NATURGY,2018_T2,0.951
NATURGY,2018_T3,0.961666667
NATURGY,2018_T4,0.974333333
NATURGY,2019_T1,0.982
NATURGY,2019_T2,0.983666667
NATURGY,2019_T3,0.984
NATURGY,2019_T4,0.996
EDP,2015_T3,0.403333333
EDP,2015_T4,0.5
EDP,2016_T1,0.556666667
EDP,2016_T2,0.596666667
EDP,2016_T3,0.653333333
EDP,2016_T4,0.7
EDP,2017_T1,0.743333333
EDP,2017_T2,0.776666667
EDP,2017_T3,0.826666667
EDP,2017_T4,0.88
EDP,2018_T1,0.922666667
EDP,2018_T2,0.961666667
EDP,2018_T3,0.972666667
EDP,2018_T4,0.979333333
EDP,2019_T1,0.983666667
EDP,2019_T2,0.987333333
EDP,2019_T3,0.990666667
EDP,2019_T4,0.992333333
ENDESA,2015_T3,0.42
ENDESA,2015_T4,0.47
ENDESA,2016_T1,0.526666667
ENDESA,2016_T2,0.58
ENDESA,2016_T3,0.63
ENDESA,2016_T4,0.706666667
ENDESA,2017_T1,0.763333333
ENDESA,2017_T2,0.806666667
ENDESA,2017_T3,0.853333333
ENDESA,2017_T4,0.89
ENDESA,2018_T1,0.907
ENDESA,2018_T2,0.925333333
ENDESA,2018_T3,0.948666667
ENDESA,2018_T4,0.965333333
ENDESA,2019_T1,0.975
ENDESA,2019_T2,0.979333333
ENDESA,2019_T3,0.981666667
ENDESA,2019_T4,0.986
REPSOL,2015_T3,0.905943333
REPSOL,2015_T4,0.925043333
REPSOL,2016_T1,0.97
REPSOL,2016_T2,0.97
REPSOL,2016_T3,0.97
REPSOL,2016_T4,0.977563
REPSOL,2017_T1,0.977564
REPSOL,2017_T2,0.977563
REPSOL,2017_T3,0.98
REPSOL,2017_T4,0.98
REPSOL,2018_T1,0.984048
REPSOL,2018_T2,0.987
REPSOL,2018_T3,0.989
REPSOL,2018_T4,0.9892442
REPSOL,2019_T1,0.9902442
REPSOL,2019_T2,0.99
REPSOL,2019_T3,0.9914884
REPSOL,2019_T4,0.9914884
OTHERS,2015_T3,0.249795
OTHERS,2015_T4,0.313527333
OTHERS,2016_T1,0.370225667
OTHERS,2016_T2,0.406693333
OTHERS,2016_T3,0.456865
OTHERS,2016_T4,0.559603
OTHERS,2017_T1,0.652284667
OTHERS,2017_T2,0.682621
OTHERS,2017_T3,0.709646667
OTHERS,2017_T4,0.758734667
OTHERS,2018_T1,0.8316211
OTHERS,2018_T2,0.857142867
OTHERS,2018_T3,0.888155867
OTHERS,2018_T4,0.934502233
OTHERS,2019_T1,0.973893267
OTHERS,2019_T2,0.978319367
OTHERS,2019_T3,0.978787233
OTHERS,2019_T4,0.978997767
