quarter,year,cost_reg,cost_com
4,2013,55.65612876657045,56.134488071754795
1,2014,44.4527368438098,41.32708791676314
2,2014,55.552710883034145,51.3346609800098
3,2014,66.45380406692523,62.559251009538215
4,2014,66.50285770827628,63.01007042678492
1,2015,63.53460499766554,60.74430593351563
2,2015,65.1867548917499,61.12545415480955
3,2015,69.05165322242287,66.4008429698653
4,2015,64.1133474597732,61.91720304206288
1,2016,42.52090969942501,41.07921404084841
2,2016,40.312385723361096,38.340854277155344
3,2016,50.85529952648787,48.9296041975602
4,2016,66.49387583004335,64.79191103079087
1,2017,66.96140768764073,65.54420001143703
2,2017,56.30755562726445,54.35361248986845
3,2017,57.348666102784016,55.41793205276342
4,2017,68.11972356977921,66.34992796762626
1,2018,57.98353504742752,56.58017998501195
2,2018,61.111844909770824,59.15560580695156
3,2018,73.9940101062246,72.09066251905138
4,2018,70.71066325656777,68.92695041200786
1,2019,62.37612802476166,60.97532713086873
2,2019,55.964230594935906,53.96070698317025
3,2019,52.8312550640445,50.99766192330744
4,2019,48.88249207691534,47.115565525481394
1,2020,42.35631734750778,40.84634413132942
2,2020,31.484403366784033,29.475193042551357
3,2020,44.41014808350661,42.47504924894914
4,2020,48.58096353214811,46.74789036936906
